Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1764191734,2025-11-26T21:15:34Z,UBT795,"50.739567,-0.273819",10775,362,165
1764191746,2025-11-26T21:15:46Z,UBT795,"50.719162,-0.265231",10925,369,164
1764191759,2025-11-26T21:15:59Z,UBT795,"50.697903,-0.256195",11100,377,164
1764191774,2025-11-26T21:16:14Z,UBT795,"50.672249,-0.245438",11275,388,165
1764191786,2025-11-26T21:16:26Z,UBT795,"50.65036,-0.236206",11400,395,165
1764191799,2025-11-26T21:16:39Z,UBT795,"50.627838,-0.226665",11550,404,164
1764191814,2025-11-26T21:16:54Z,UBT795,"50.600281,-0.214976",11700,412,164
1764191828,2025-11-26T21:17:08Z,UBT795,"50.573048,-0.203618",11925,422,164
1764191841,2025-11-26T21:17:21Z,UBT795,"50.549011,-0.193489",12150,425,164
1764191872,2025-11-26T21:17:52Z,UBT795,"50.488541,-0.16812",12800,436,165
1764191904,2025-11-26T21:18:24Z,UBT795,"50.425941,-0.142228",13500,442,165
1764191936,2025-11-26T21:18:56Z,UBT795,"50.363144,-0.11595",14175,447,164
1764191969,2025-11-26T21:19:29Z,UBT795,"50.298855,-0.08893",14875,452,164
1764192001,2025-11-26T21:20:01Z,UBT795,"50.232704,-0.060796",15575,458,164
1764192031,2025-11-26T21:20:31Z,UBT795,"50.171127,-0.034332",16225,461,164
1764192064,2025-11-26T21:21:04Z,UBT795,"50.103336,-0.005642",16825,468,164
1764192095,2025-11-26T21:21:35Z,UBT795,"50.036087,0.022768",17475,472,164
1764192128,2025-11-26T21:22:08Z,UBT795,"49.968243,0.051369",18125,475,164
1764192160,2025-11-26T21:22:40Z,UBT795,"49.898895,0.080374",18725,480,164
1764192193,2025-11-26T21:23:13Z,UBT795,"49.829796,0.108972",19325,484,165
1764192223,2025-11-26T21:23:43Z,UBT795,"49.763763,0.136751",19875,488,164
1764192256,2025-11-26T21:24:16Z,UBT795,"49.694,0.165834",21550,462,164
1764192287,2025-11-26T21:24:47Z,UBT795,"49.631901,0.191593",23050,442,164
1764192318,2025-11-26T21:25:18Z,UBT795,"49.570126,0.217277",23200,452,164
1764192349,2025-11-26T21:25:49Z,UBT795,"49.505886,0.242738",23275,467,167
1764192382,2025-11-26T21:26:22Z,UBT795,"49.434036,0.264033",23350,482,169
1764192414,2025-11-26T21:26:54Z,UBT795,"49.36311,0.284127",23450,495,169
1764192445,2025-11-26T21:27:25Z,UBT795,"49.294235,0.30318",23625,504,169
1764192477,2025-11-26T21:27:57Z,UBT795,"49.218292,0.324097",23800,514,169
1764192510,2025-11-26T21:28:30Z,UBT795,"49.142078,0.34513",23950,524,169
1764192542,2025-11-26T21:29:02Z,UBT795,"49.064117,0.366493",24100,531,169
1764192575,2025-11-26T21:29:35Z,UBT795,"48.98497,0.388184",24375,536,169
1764192605,2025-11-26T21:30:05Z,UBT795,"48.911041,0.408255",24675,539,169
1764192637,2025-11-26T21:30:37Z,UBT795,"48.832088,0.429912",25000,542,169
1764192668,2025-11-26T21:31:08Z,UBT795,"48.755905,0.450721",25325,544,169
1764192699,2025-11-26T21:31:39Z,UBT795,"48.678326,0.471762",25600,546,169
1764192732,2025-11-26T21:32:12Z,UBT795,"48.597511,0.493662",25875,549,169
1764192763,2025-11-26T21:32:43Z,UBT795,"48.518463,0.514808",26150,553,169
1764192795,2025-11-26T21:33:15Z,UBT795,"48.43779,0.536523",26350,558,169
1764192827,2025-11-26T21:33:47Z,UBT795,"48.358185,0.558062",26575,561,169
1764192858,2025-11-26T21:34:18Z,UBT795,"48.276161,0.580107",26825,564,169
1764192890,2025-11-26T21:34:50Z,UBT795,"48.1926,0.602441",27100,567,169
1764192922,2025-11-26T21:35:22Z,UBT795,"48.111736,0.623826",27400,570,170
1764192954,2025-11-26T21:35:54Z,UBT795,"48.029617,0.645447",27575,574,170
1764192984,2025-11-26T21:36:24Z,UBT795,"47.949596,0.666504",27825,577,170
1764193016,2025-11-26T21:36:56Z,UBT795,"47.864033,0.688688",28050,581,170
1764193048,2025-11-26T21:37:28Z,UBT795,"47.778286,0.707773",28450,583,172
1764193081,2025-11-26T21:38:01Z,UBT795,"47.69133,0.723038",28875,583,173
1764193112,2025-11-26T21:38:32Z,UBT795,"47.607578,0.73707",29300,582,173
1764193145,2025-11-26T21:39:05Z,UBT795,"47.520851,0.751366",29650,583,173
1764193175,2025-11-26T21:39:35Z,UBT795,"47.438221,0.76531",29975,584,173
1764193207,2025-11-26T21:40:07Z,UBT795,"47.351864,0.779607",30450,583,173
1764193239,2025-11-26T21:40:39Z,UBT795,"47.267349,0.793556",31075,578,173
1764193271,2025-11-26T21:41:11Z,UBT795,"47.183441,0.807083",31850,569,173
1764193304,2025-11-26T21:41:44Z,UBT795,"47.098892,0.820747",32625,561,173
1764193337,2025-11-26T21:42:17Z,UBT795,"47.013611,0.834755",33150,558,173
1764193370,2025-11-26T21:42:50Z,UBT795,"46.929916,0.848553",33550,556,173
1764193400,2025-11-26T21:43:20Z,UBT795,"46.851849,0.86174",33900,555,173
1764193431,2025-11-26T21:43:51Z,UBT795,"46.772415,0.874753",34225,556,173
1764193464,2025-11-26T21:44:24Z,UBT795,"46.689892,0.887833",34525,556,173
1764193494,2025-11-26T21:44:54Z,UBT795,"46.61142,0.900209",34800,556,173
1764193527,2025-11-26T21:45:27Z,UBT795,"46.527603,0.913473",35000,557,173
1764193560,2025-11-26T21:46:00Z,UBT795,"46.444611,0.922577",34975,559,177
1764193592,2025-11-26T21:46:32Z,UBT795,"46.360722,0.921753",35000,561,182
1764193624,2025-11-26T21:47:04Z,UBT795,"46.276566,0.913138",34975,561,184
1764193657,2025-11-26T21:47:37Z,UBT795,"46.192436,0.904312",34975,561,184
1764193689,2025-11-26T21:48:09Z,UBT795,"46.109062,0.895592",34975,562,184
1764193721,2025-11-26T21:48:41Z,UBT795,"46.026012,0.886871",35000,564,184
1764193753,2025-11-26T21:49:13Z,UBT795,"45.941658,0.878426",34975,565,184
1764193785,2025-11-26T21:49:45Z,UBT795,"45.858749,0.869774",35000,565,184
1764193817,2025-11-26T21:50:17Z,UBT795,"45.776138,0.861422",34975,565,183
1764193850,2025-11-26T21:50:50Z,UBT795,"45.690834,0.852402",35000,566,184
1764193880,2025-11-26T21:51:20Z,UBT795,"45.611115,0.844272",34975,567,184
1764193912,2025-11-26T21:51:52Z,UBT795,"45.527298,0.835811",34975,569,184
1764193944,2025-11-26T21:52:24Z,UBT795,"45.441921,0.827056",34975,570,184
1764193976,2025-11-26T21:52:56Z,UBT795,"45.358475,0.818416",35000,571,184
1764194008,2025-11-26T21:53:28Z,UBT795,"45.275345,0.809849",34975,570,184
1764194040,2025-11-26T21:54:00Z,UBT795,"45.19075,0.801283",35000,569,184
1764194072,2025-11-26T21:54:32Z,UBT795,"45.10556,0.792716",35000,570,184
1764194104,2025-11-26T21:55:04Z,UBT795,"45.02216,0.78425",35000,571,184
1764194136,2025-11-26T21:55:36Z,UBT795,"44.937901,0.775675",34975,571,184
1764194168,2025-11-26T21:56:08Z,UBT795,"44.855484,0.767474",34975,570,184
1764194200,2025-11-26T21:56:40Z,UBT795,"44.770203,0.758907",34975,570,183
1764194231,2025-11-26T21:57:11Z,UBT795,"44.687775,0.750554",35000,571,184
1764194263,2025-11-26T21:57:43Z,UBT795,"44.602398,0.741979",34975,570,184
1764194295,2025-11-26T21:58:15Z,UBT795,"44.518185,0.733806",34975,571,184
1764194328,2025-11-26T21:58:48Z,UBT795,"44.433609,0.72549",35000,572,184
1764194361,2025-11-26T21:59:21Z,UBT795,"44.347458,0.71712",34975,573,183
1764194393,2025-11-26T21:59:53Z,UBT795,"44.261356,0.708618",35000,575,184
1764194425,2025-11-26T22:00:25Z,UBT795,"44.176163,0.700315",35000,576,184
1764194458,2025-11-26T22:00:58Z,UBT795,"44.089809,0.691681",35000,576,184
